"Group","Outcomes","Mean","phase","measurement"
"1","ed",8.200000002,"1",27.33333334
"2","ed",4.899999996,"1",16.33333332
"1","poss",11.799999999,"1",39.33333333
"2","poss",6.800000001,"1",22.66666667
"1","s3",8.800000002,"1",29.33333334
"2","s3",6.099999996,"1",20.33333332
"1","ed",7.600000002,"2",25.33333334
"2","ed",NA,"2",NA
"1","poss",13.299999996,"2",44.33333332
"2","poss",NA,"2",NA
"1","s3",9.699999999,"2",32.33333333
"2","s3",NA,"2",NA
"1","ed",NA,"3",NA
"2","ed",4.2,"3",14
"1","poss",NA,"3",NA
"2","poss",3.9,"3",13
"1","s3",NA,"3",NA
"2","s3",7.199999997,"3",23.99999999
"1","ed",19.8,"4",66
"2","ed",4.999999998,"4",16.66666666
"1","poss",15,"4",50
"2","poss",7.2,"4",24
"1","s3",13.599999999,"4",45.33333333
"2","s3",8.1,"4",27
"1","ed",16.300000002,"5",54.33333334
"2","ed",NA,"5",NA
"1","poss",12.100000002,"5",40.33333334
"2","poss",NA,"5",NA
"1","s3",13.400000001,"5",44.66666667
"2","s3",NA,"5",NA
"1","ed",NA,"6",NA
"2","ed",13.599999999,"6",45.33333333
"1","poss",NA,"6",NA
"2","poss",7.600000002,"6",25.33333334
"1","s3",NA,"6",NA
"2","s3",9.599999997,"6",31.99999999
"1","ed",NA,"7",NA
"2","ed",12.999999999,"7",43.33333333
"1","poss",NA,"7",NA
"2","poss",9.900000003,"7",33.00000001
"1","s3",NA,"7",NA
"2","s3",9.9,"7",33
